item,price
汤 Soup,header
,description
1. 三鲜汤  Mix Meat Seafood w/ Vegetable Soup,<br>(Small) 8.95 &nbsp;&nbsp;&nbsp; (Large) 12.95
2. 酸辣汤  Hot & Sour Soup🌶️,<br>(Small) 8.95 &nbsp;&nbsp;&nbsp; (Large) 12.55
3. 海味紫菜汤 Dried Seaweed w/ Seafood Soup,<br>(Small) 8.95 &nbsp;&nbsp;&nbsp; (Large) 12.95
4. 青菜肉丝汤 Shredded Pork w/ Vegetable Soup,<br>(Small) 8.95 &nbsp;&nbsp;&nbsp; (Large) 12.55
5. 海鲜汤 Seafood Tofu Soup,<br>(Small) 9.95 &nbsp;&nbsp;&nbsp; (Large) 13.95
5A. 香菜豆腐鱼片汤 Tofu Fish w/ Cilantro Soup,<br>(Small) 10.55 &nbsp;&nbsp;&nbsp; (Large) 15.55
5B. 西湖牛肉羹 West Lake Beef Soup,<br>(Small) 9.95 &nbsp;&nbsp;&nbsp; (Large) 14.55
5C. 番茄肉丝汤 Shredded Meat w/ Tomato Soup,<br>(Small) 8.95 &nbsp;&nbsp;&nbsp; (Large) 13.55
鸡/鸭 Chicken/Duck,header
,description
6. 冬菇炆鸡 Braised Chicken w/ Black Mushrooms,16.55
7. 四川豆瓣鸡 Chicken w/ Bean Paste Chili Sauce🌶️,16.55
8. 湖南辣子鸡 Hunan Dry Chili Chicken🌶️,16.55
9. 宫保鸡 Kung Pao Chicken🌶️,15.55
10. 青江菜炒鸡片 Chicken w/ Baby Bok Choy,15.55
11. 椰汁咖喱鸡 Curry Chicken🌶️,15.55
12. 卤水鸭 House Special Duck,19.95
13. 脆皮炸子鸡 Deep Fried Crispy Chicken,17.95
14. 霸王鸡  Steamed Chicken w/ Ginger & Onions,17.95
15. 盐焗沙姜鸡 Steamed Chicken w/ Salt & Ginger,17.95
牛/羊 Beef/Lamb,header
,description
16. 咖喱牛肉 Curry Beef🌶️,16.55
17. 豉椒牛肉 Beef w/ Green Pepper in Black Bean Sauce,16.55
18. 青江菜炒牛肉 Beef w/ Baby Bok Choy,16.95
19. 番茄牛肉 Beef w/ Tomato,16.55
20. 水煮牛肉 Boiled Beef in Szechuan Sauce🌶️,17.95
21. 五香牛腩 Braised Beef Brisket🌶️,17.95
22. 蚝油牛肉 Beef w/ Oyster Sauce,16.55
23. 四川豆瓣牛肉 Beef w/ Black Bean Paste Chili Sauce🌶️,17.95
24. 白菜牛肉 Beef w/ Bok Choy (Napa),16.55
25. 铁板黑椒牛柳丝 Beef w/ Black Pepper Sauce🌶️,17.95
26. 九层塔炒羊肉 Basil Lamb🌶️,17.95
27. 酱爆羊肉 Lamb w/ Hong Sue Sauce,17.95
猪 Pork,header
,description
28. 蜜汁叉烧 B.B.Q Pork,16.55
29. 京都肉 Peking Pork,16.55
30. 干煸肉丝四季豆 Pork w/ Green Bean🌶️,16.55
31. 香酥猪扒 Pork Chop w/ Chili & Spiced Salt🌶️,16.55
32. 鱼香肉丝 Shredded Pork w/ Szechuan Sauce🌶️,16.55
33. 宫保肉丁 Kung Pao Pork🌶️,15.55
34. 无骨猪手 Steamed Pork Elbow,15.55
35. 四川回锅肉 Szechuan Double Cooked Pork🌶️,16.55
海鲜 Seafood,header
,description
36. 红烧鱼 Whole Fish w/ Hong Sue Sauce,Market Price
37. 豆瓣全鱼 Whole Fish w/ Broad Bean Paste Sauce🌶️,Market Price
38. 重庆水煮鱼 Chongqing Style Fish in Spicy Soup🌶️,17.95
39. 九层塔虾 Jumbo Shrimp w/ Basil🌶️,17.95
40. 椒盐虾/鲜鱿 Salt Baked Shrimp or Squid w/ Chili🌶️,17.95
41. 豉汁炒青口 Green Shell Mussels w/ Blak Bean Sauce,17.95
42. 滑蛋虾仁 Shrimp w/ Scrambled Egg,16.55
43. 豉椒鲜鱿 Squid w/ Green Pepper in Black Bean Sauce,17.95
"44. 椒盐三鲜 Salt Baked Scallops, Shrimps & Squids🌶️",17.95
45. 油泡海鲜球 Seafood w/ Assorted Vegetables,17.95
46. 美极大虾 Jumbo Shrimp w/ Onion in Buttery Soy Sauce,17.95
豆腐/蔬菜 Tofu/Vegetable,header
,description
47. 家常豆腐 Country Style Tofu,15.95
48. 冬菇豆腐 Black Mushroom w/ Tofu,16.95
49. 海鲜豆腐 Seafood w/ Tofu,16.55
50. 麻婆豆腐 Ma Po Tofu🌶️,15.55
51. 罗汉斋 Buddhist Delight,15.95
52. 蚝油冬菇 Black Mushroom w/ Oyster Sauce,15.95
53. 各式青菜 Chinese Vegetable ( Baby Bok Choy or Choy Sum),14.95
煲 Clay Pot,header
,description
54. 鱼香茄子煲 Eggplant w/ Pork🌶️,15.95
55. 萝卜牛腩煲 Beef Brisket w/ Radish,17.95
56. 八珍豆腐煲 Mixed Seafood w/ Bean Noodle,17.95
57. 香芋扣肉煲 Taro w/ Twice Cooked Pork Belly,20.55
58. 梅菜扣肉煲 Pork Belly w/ Preserved Vegetable,20.55
59. 海鲜一品煲 Mixed Seafood w/ Bean Noodle,19.95
汤粉/面（或干捞）Rice Noodle/Noodle Soup,header
,description
60. 牛腩粉/面 Beef Brisket w/ Rice Noodle or Noodle,10.95
61. 云吞粉/面 Wonton w/ Rice Noodle or Noodle,10.95
62. 叉烧粉/面 B.B.Q Pork w/ Rice Noodle or Noodle,10.95
63. 海鲜粉/面 Seafood w/ Rice Noodle or Noodle,10.95
炒粉/面/饭 Fried Rice Noodle/Noodle/Rice,header
,description
64. 干炒牛河 Beef w/ Flat Rice Noodle,15.95
65. 湿炒牛河 Beef w/ Flat Rice Noodle in Chef's Sauce,15.95
66. 湿炒海鲜河 Assorted Seafood w/Rice Noodle in Chef's Sauce,17.95
67. 湿炒海鲜面 Assorted Seafood w/Egg Noodle in Chef's Sauce,17.95
68. 叉烧炒面 Fried Noodle w/ B.B.Q Pork,14.55
69. 什锦炒面 Fried Noodle w/ Mixed Meat,15.95
70. 虾球炒面 Fried Noodle w/ Shrimp,15.95
71. 星洲炒米粉 Singapore Fried Rice Noodle🌶️,15.55
72. 扬州炒饭 Yang Chow Fried Rice,15.55
73. 虾仁炒饭 Shrimp Fired Rice,15.55
74. 海鲜炒面 Fried Noodle w/ Mixed Seafood,17.95
凉菜 Cold Dish,header
,description
75. 夫妻肺片 Beef & Ox Tripe w/ Chili Sauce🌶️,16.95
76. 口水鸡 Steamed Chicken w/ Chili Sauce🌶️,17.95
77. 红油肘子 Pork Joint in Chili Oil🌶️,15.95
78. 凉拌肚丝 Shredded Tripe w/ Soy Sauce🌶️,18.55
79. 麻辣手撕鸡 Shredded Chicken w/ Chili Sauce🌶️,18.55
80. 姜葱白切鸡 Chicken w/ Ginger & Onion Sauce,17.95
81. 盐焗手撕鸡 Shredded Chicken w/ Salt,18.55
82. 麻辣鸡胗 Chicken Gizzards w/ Chili Sauce🌶️,
83. 盐焗鸡胗 Chicken Gizzards w/ Salt,
84. 麻辣牛肉 Beef w/ Chili Sauce🌶️,17.95
85. 鸭三样（原味/辣味） Three Delicacies Duck,13.95
蔬菜/豆腐/鸡/猪 Veggie/Tofu/Chicken/Pork,header
,description
86. 上汤青菜 Braised Vegetable in Broth,15.55
87. 香辣豆腐 Tofu in Spicy Sauce🌶️,16.95
88. 冬菇炒青江菜 Black Mushroom w/ Baby Bok Choy,15.95
89. 萝卜干叉烧煎蛋 BBQ Pork Fried Egg w/ Pickled Radish,15.95
90. 左宗鸡 General Tso's Chicken🌶️,13.95
91. 干烧土豆鸡 Dry-Braised Chicken w/ Potato & Chili🌶️,17.95
92. 干锅鸡 Griddle Cooked Chicken🌶️,17.95
93. 干锅鸡胗 Griddle Cooked Chicken Gizzards🌶️,
94. 泰式香辣鸡 Sauteed Spicy Chicken in Thai Sauce🌶️,15.55
95. 榨菜肉丝 Shredded Pork w/ Preserved Vegetable🌶️,15.95
96. 糖醋猪扒 Sweet & Sour Sparerib,16.55
97.西芹炒猪肚 Pig Tripe w/ Celery,17.95
98. 葱爆猪肚 Pig Tripe w/ Fried Scallions,17.95
99. 酸菜猪肚 Pig Tripe w/ Preserved Vegetable🌶️,17.95
100.沙姜猪肚 Pig Tripe in Zedoary Sauce,17.95
101. 美极猪肚 Pig Tripe w/ Onion in Buttery Soy Sauce,17.95
102. 铁板猪肚 Sizzling Pig Tripe,17.95
103. 麻辣猪肚 Pig Tripe w/ Chili & Pepper,17.95
104. 干锅猪肚 Griddle Cooked Pig Tripe🌶️,17.95
海鲜类 Seafood,header
,description
105.糖醋鱼片 Fried Fish Fillet w/ Sweet & Sour Sauce,18.55
106. 咖喱包心鱼丸 Fish Balls w/ Curry Sauce🌶️,17.95
107. 干锅包心鱼丸 Griddle Cooked Fish Balls🌶️,17.95
108. 水煮包心鱼丸 Poached Fish Balls in Spicy Broth🌶️,17.95
109. 香酥鱼片 Fired Fish Fillets w/ Dried Chili🌶️,17.95
110. 姜葱鱼片 Fish Fillet w/ Ginger & Scallion,18.55
111. 泰式三味鱼 Thai Style Fried Fish Fillet🌶️,18.55
112. 酸菜鱼 Fish Fillet w/ Pickled Vegetable Soup🌶️,18.55
113. 沸腾鱼片 Fish Fillet in Chili Oil🌶️,19.55
114. 清蒸龙利鱼 Steamed Whole Swai Fish,Market Price
115. 虾仁煎蛋 Pan Fried Egg w/ shrimp,16.95
116. 宫保虾 Kung Pao Shrimp🌶️,17.55
117. 西兰花炒虾球 Chinese Style Shrimp w/ Broccoli,17.55
118. 番茄虾球 Shrimp w/ tomato,17.55
119. 辣子大虾 Jumbo Shrimp w/ Dried Chili🌶️,17.55
120. 核桃虾 Walnut Jumbo  Shrimp,17.95
121. 葱爆大虾 Jumbo Shrimp w/ Fried Scallion🌶️,17.95
122. 干锅虾 Griddle Cooked Jumbo Shrimp🌶️,18.55
123. 白灼虾 Scalded Shrimp,
124. 西芹炒鲜鱿 Squid w/ Celery,18.55
125. 香辣鲜鱿 Spicy Sauteed Squid🌶️,18.55
126. 美极鲜鱿 Squid w/ Onion in Buttery Soy Sauce,18.55
127. 宫保鱿鱼 Kung Pao Squid🌶️,18.55
128. 辣子鱿鱼 Squid w/ Dried Chili🌶️,18.55
129. 姜葱墨鱼仔 Cuttlefish w/ Ginger & Scallion,18.95
130. 咖喱墨鱼仔 Cuttlefish w/ Curry Sauce🌶️,18.95
131. 铁板黑椒鱿鱼 Sizzling Squid w/ Black Pepper🌶️,18.95
132. 水煮墨鱼仔 Poached Cuttlefish in Spicy Broth🌶️,18.95
133. 海鲜豆腐煲 Seafood w/ Tofu in Clay Pot,17.95
134. 核桃带子 Walnut Scallop,18.55
135. 黑椒带子 Scallop w/ Black Pepper Sauce🌶️,18.55
136. 水煮海鲜 Poached Seafood in Spicy Broth🌶️,20.95
牛羊类 Beef/Lamb,header
,description
137. 酸菜牛肉 Beef w/ Preserved Vegetable🌶️,16.95
138. 姜葱牛肉 Beef w/ Ginger & Scallion,16.95
139. 脆皮牛肉 Crispy Beef,15.55
140. 孜然牛肉 Beef w/ Cumin🌶️,16.95
141. 干锅牛肉 Griddle Cooked Beef🌶️,17.95
142. 土豆牛腩煲 Potato w/ Braised Beef Brisket in Clay Pot,18.55
143. 茄子牛腩煲 Eggplant w/ Braised Beef Brisket in Clay Pot,18.55
144. 豆腐牛腩煲 Tofu w/ Braised Beef Brisket in Clay Pot,18.55
145. 孜然肥牛 Fatty Beef w/ Cumin🌶️,18.95
146. 干锅肥牛 Griddle Cooked Fatty Beef🌶️,18.95
147. 葱爆牛肚 Beef Tripe w/ Fried Scallions,18.95
148. 麻辣牛肚 Beef Tripe w/ Chili Sauce🌶️,18.55
149. 干锅牛肚 Griddle Cooked Beef Tripe🌶️,18.55
150. 酸菜牛肚 Beef Tripe w/ Preserved Vegetable🌶️,18.55
151. 孜然羊肉 Lamb w/ Cumin🌶️,18.55
152. 姜葱羊肉 Lamb w/ Ginger & Scallion,18.55
153. 水煮羊肉 Poached Sliced Lamb in Chili Broth🌶️,18.55
面类 Noodle,header
,description
154. 麻辣牛肉面 Beef w/ Noddle in Chili Broth🌶️,15.95
155. 麻辣热干面 Wu Han Spicy Dry Noodle w/ Sesame Paste🌶️,14.95
156. 红烧牛肉面 Braised Beef w/ Noddle in Brown Sauce,15.95
157. 番茄牛肉炒意面 Tomato Beef Sauteed w/ Spaghetti,15.95
158. 黑椒牛肉炒意面 Black Pepper Beef Sauteed w/ Spaghetti🌶️,15.95
 Beverage/Dessert,header
,description
159. 冰茶 Ice Tea,2.80
160. Fountain Pop,2.80
161. 苹果汁/橙汁 Apple Juice/Orange Juice,
162. 加多宝/王老吉 JiaDuoBao/WangLaoJi Chinese Herbal Tea,3.00
