item,price
Chef's Specials,header
All dinners served w/ rice and fortune cookie,description
Seafood Treasure (Clay Pot),19.95
"Fresh scallops, shrimp, mussels, and squid simmer w/ aromatic black mushrooms, and bok choy over a spread of clean bean noodles.",description
Lamb w/ Basil🌶️,17.95
"Slices of tender lamb sauteed w/ sweet basil green peppers, onions, and scallions in chef's special sauce.",description
Walnut Shrimp/Scallop,18.55
"Lightly deep-fried shrimps or scallops tossed in chef's creamy tasty sauce w/ steamed broccoli.",description
Black Pepper Scallops🌶️,18.55
"Lightly deep-fried shrimps or scallops tossed w/ chef's special black peppery sauce w/ steamed broccoli.",description
"Salt Baked Shrimp, Scallops and Squid w/ Chili🌶️",17.95
"Lightly deep-fried shrimps, scallops, squids tossed w/ chef's special salt and dry chili spice.",description
Spicy Broad Bean Flavored Fish🌶️,17.95
"Lightly deep-fried fish sauteed in ginger, scallions, onions, and garlic in black bean paste.",description
Fried Fish (Thai Style)🌶️,17.95
"Lightly deep-fried fish tossed w/ green peppers, onions, garlic w/ a touch of lemon juice in tangy hot sauce.",description
Thai Style Basil Chicken or Tofu🌶️,15.55
"Lightly deep-fried chicken or tofu stir-fry w/ sweet basil, celery, onions, and ginger in chef's Thai spicy sauce.",description
Thai Style Basil Shrimp or Fish🌶️,17.95
"Lightly deep-fried shrimp or fish stir-fry w/ sweet basil, celery, onions, and ginger in chef's Thai spicy sauce.",description
"Temperature Hot Sizzling Plate (Beef, Chicken, or Pork)",17.95
"Hot plate w/ grilled beef, chicken, or boneless pork chop sizzle w/ the choice of sauce: (1) Black Pepper Sauce🌶️, (2) Tomato Based Sauce, (3) Natural Herb Sauce.",description
Orange Beef🌶️,15.55
"Lightly deep-fried slices of tender beef stir-fry in chef's tangy orange sauce over deep-fried rice noodles.",description
Beef w/ Cumin🌶️,16.55
"Lightly deep-fried slices of tender beef stir fry w/ a well-balance of aromatic cumin spice, onions, and dry chili.",description
Lamb w/ Cumin🌶️,17.95
"Lightly deep-fried slices of lamb stir fry w/ a well-balance of aromatic cumin spice, onions, and dry chili.",description
Pork Chop w/ Chili and Spiced Salt🌶️,16.55
"Lightly deep-fried pork chop tossed w/ garlic and scallions in a special chef's spiced salt w/ chili.",description
General Tso Chicken🌶️,13.95
"Lightly deep-fried chicken sauteed w/ green peppers, pineapples, and onions in chef's General sauce.",description
Soup,header
,description
Egg Drop Soup,(Small) 2.95 &nbsp;&nbsp;&nbsp; (Large) 4.95
Chicken Noodle,(Small) 2.95 &nbsp;&nbsp;&nbsp; (Large) 4.95
Wonton Soup,(Small) 4.25 &nbsp;&nbsp;&nbsp; (Large) 5.25
Hot & Sour Soup (for 2-3)🌶️,8.95
Appetizer,header
,description
Egg Roll (1),1.85
Vegetable Spring Roll (1),1.85
Shrimp Spring Roll (1),2.05
Onion Rings,5.25
Fried Wontons (10),5.25
Crab Rangoon (5),5.55
Chinese Dumplings (5),5.95
Chicken or Beef Kebob (2),8.25
Jumbo Fried Shrimp (5),8.75
Fried Chicken Wings (10),10.95
Jumbo Tempura Shrimp (5),8.25
BBQ Ribs, (Small) 7.95 &nbsp;&nbsp;&nbsp; (Large) 12.55
Salad,header
Dressing: French or Ranch,description
Tossed Salad,3.95
Grilled Beef Salad,9.25
Grilled Chicken Salad,8.55
Shrimp Salad,8.55
Seafood,header
Served w/ white rice,description
Brocolli Shrimp,14.95
Garlic Shrimp,14.95
Chow San Sine (Happy Family),15.95
Hunan Shrimp🌶️,14.95
Princess Shrimp🌶️,14.95
Sweet & Sour Shrimp,14.95
Shrimp w/ Vegetable Deluxe,14.95
Black Bean Shrimp,14.95
Chinese Style Fried Shrimp,14.95
Salt Baked Squid or Shrimp🌶️,17.95
Kin Pao San Yan (Three Delicates),15.95
Sweet & Sour Fish,17.95
Hong Sue Fish (Friend Fish w/ Chef's Hong Sue Sauce),17.95
Poultry,header
Served w/ white rice,description
Moo Goo Gai Pan,12.95
Almond Boneless Chicken,12.95
Sweet & Sour Chicken,12.95
Vegetable Deluxe Chicken,12.95
Szechuan Chicken🌶️,12.95
Brocolli Chicken,12.95
Princess Chicken🌶️,12.95
Black Bean Chicken,12.95
Mongolian Chicken,12.95
Lemon Chicken,12.95
Cashew Chicken,12.95
Garlic Chicken,12.95
Hunan Chicken🌶️,12.95
Curry Chicken🌶️,15.55
Walnut Chicken,15.55
Sesame Chicken,13.95
Orange Chicken🌶️,13.95
Pork,header
Served w/ white rice,description
Princess Pork,12.95
Mongolian Pork,12.95
Sweet & Sour Pork,12.95
Szechuan Pork🌶️,12.95
Hunan Pork🌶️,12.95
Mu Shu Pork,12.95
Black Bean Pork,12.95
Peking Pork,16.55
Beef,header
Served w/ white rice,description
Pepper Steak,14.95
Beef Vegetable Deluxe,14.95
Brocolli Beef,14.95
Szechuan Beef🌶️,14.95
Beef w/ Mushroom & Onion,14.95
Mongolian Beef,14.95
Snow Pea Beef,14.95
Princess Beef🌶️,14.95
Curry Beef🌶️,16.55
Hunan Beef🌶️,14.95
Crispy Beef,15.55
Broad Bean Flavored Beef🌶️,17.55
Beef w/ Black Pepper Sauce🌶️,16.55
Vegetable or Tofu,header
Served w/ white rice,description
Country Style Tofu,15.95
General Tso's Tofu🌶️,15.95
Ma Po Tofu🌶️,15.95
Black Mushroom w/ Tofu,16.95
Baby Shrimp w/ Tofu,15.95
Tofu w/ Spicy Szechuan Sauce🌶️,15.95
Sweet & Sour Tofu,14.95
Hot & Sour Eggplant🌶️,15.55
Hot & Sour Tofu🌶️,15.55
Egg Foo Young,header
Served w/ white rice,description
Ham Egg Foo Young,11.95
B.B.Q. Pork Egg Foo Young,11.95
Beef Egg Foo Young,12.95
Chicken Egg Foo Young,11.95
Vegetable Egg Foo Young,11.95
Shrimp Egg Foo Young,12.95
"Imperial Egg Foo Young(Ham, Chicken, Beef, BBQ Pork, and Shrimp)",12.95
Fried Rice,header
,description
Ham Fried Rice,(Pint) 7.25 &nbsp;&nbsp;&nbsp; (Quart) 11.95
Chicken Fried Rice,(Pint) 7.25 &nbsp;&nbsp;&nbsp; (Quart) 11.95
Beef Fried Rice,(Pint) 7.95 &nbsp;&nbsp;&nbsp; (Quart) 12.95
BBQ Pork Fried Rice,<br>(Pint) 7.25 &nbsp;&nbsp;&nbsp; (Quart) 11.95
Vegetable Fried Rice,<br>(Pint) 7.25 &nbsp;&nbsp;&nbsp; (Quart) 11.95
Shrimp Fried Rice,(Pint) 7.95 &nbsp;&nbsp;&nbsp; (Quart) 12.95
"Imperial Fried Rice(Ham, Chicken, BBQ Pork, and Shrimp)",<br>(Pint) 7.95 &nbsp;&nbsp;&nbsp; (Quart) 12.95
